ts,close,next_close,close_position,body_signed,volume_z,range_z,streak,p_up,side,regime,confidence,stake,actual,result,pnl,equity
1771093800,69704.63,69741.5,0.398104,-0.038003,-0.3806,-1.4243,-2,0.5,SKIP,neutral,0.5,0.0,UP,,0.0,250.0
1771094700,69741.5,69719.98,0.782705,0.388351,-1.8018,-1.6017,1,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,250.0
1771095600,69719.98,69807.68,0.255124,-0.152635,-1.3164,-0.9234,-1,0.55,UP,bearish_fade,0.55,1.0,UP,WIN,1.0,251.0
1771096500,69807.68,69841.8,0.846998,0.316469,0.5024,0.5676,1,0.5,SKIP,bullish,0.5,0.0,UP,,0.0,251.0
1771097400,69841.8,69845.55,0.797167,0.264148,-0.8303,-1.0266,2,0.5,SKIP,bullish,0.5,0.0,UP,,0.0,251.0
1771098300,69845.55,69792.95,0.628894,0.03818,-0.5652,-1.2749,3,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,251.0
1771099200,69792.95,69794.0,0.114986,-0.280923,0.4067,-0.251,-1,0.55,UP,bearish_fade,0.55,1.0,UP,WIN,1.0,252.0
1771100100,69794.0,69914.26,0.51178,0.006019,-0.3546,-0.3855,1,0.5,SKIP,bullish,0.5,0.0,UP,,0.0,252.0
1771101000,69914.26,69982.01,0.859222,0.703069,-2.0132,-0.339,2,0.5,SKIP,bullish,0.5,0.0,UP,,0.0,252.0
1771101900,69982.01,70179.96,0.813304,0.703093,-0.7877,-1.2996,3,0.5,SKIP,bullish,0.5,0.0,UP,,0.0,252.0
1771102800,70179.96,69962.01,0.89672,0.896675,2.3147,0.3867,4,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,252.0
1771103700,69962.01,69821.11,0.067842,-0.791969,1.8945,1.0413,-1,0.55,UP,bearish_fade,0.55,1.0,DOWN,LOSS,-1.0,251.0
1771104600,69821.11,69897.68,0.527832,-0.401791,1.972,2.2942,-2,0.5,SKIP,bullish,0.5,0.0,UP,,0.0,251.0
1771105500,69897.68,69961.87,0.990104,0.423319,-0.499,-0.0809,1,0.5,SKIP,bullish,0.5,0.0,UP,,0.0,251.0
1771106400,69961.87,69896.49,0.825361,0.348897,1.5616,0.0146,2,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,251.0
1771107300,69896.49,69942.07,0.722613,-0.277387,1.6295,0.867,-1,0.5,SKIP,bullish,0.5,0.0,UP,,0.0,251.0
1771108200,69942.07,69923.78,0.534319,0.39652,-0.7967,-1.037,1,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,251.0
1771109100,69923.78,69941.16,0.101994,-0.126216,-1.3087,-0.4881,-1,0.55,UP,bearish_fade,0.55,1.0,UP,WIN,1.0,252.0
1771110000,69941.16,69788.03,0.667963,0.160881,-1.0621,-1.0461,1,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,252.0
1771110900,69788.03,69779.7,0.351111,-0.506935,0.0849,1.9125,-1,0.55,UP,bearish_fade,0.55,1.0,DOWN,LOSS,-1.0,251.0
1771111800,69779.7,69786.96,0.513152,-0.089072,-1.5431,-1.1929,-2,0.5,SKIP,bullish,0.5,0.0,UP,,0.0,251.0
1771112700,69786.96,69647.36,0.421401,0.062398,-0.4016,-0.8426,1,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,251.0
1771113600,69647.36,69663.36,0.02749,-0.75248,-0.6341,0.0742,-1,0.55,UP,bearish_fade,0.55,1.0,UP,WIN,1.0,252.0
1771114500,69663.36,69590.0,0.472796,0.119412,-0.045,-0.6642,1,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,252.0
1771115400,69590.0,69741.18,0.063446,-0.516583,-1.0135,-0.4731,-1,0.55,UP,bearish_fade,0.55,1.0,UP,WIN,1.0,253.0
1771116300,69741.18,69860.76,0.901219,0.737104,-1.3533,0.4205,1,0.5,SKIP,bullish,0.5,0.0,UP,,0.0,253.0
1771117200,69860.76,69487.99,0.988717,0.775436,-1.3833,-0.3983,2,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,253.0
1771118100,69487.99,69366.2,0.174246,-0.825754,0.2038,4.0088,-1,0.55,UP,bearish_fade,0.55,1.0,DOWN,LOSS,-1.0,252.0
1771119000,69366.2,69672.06,0.167267,-0.375027,0.8066,1.4596,-2,0.55,UP,bearish_fade,0.55,1.0,UP,WIN,1.0,253.0
1771119900,69672.06,69502.32,0.963691,0.924691,-0.6253,1.3764,1,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,253.0
1771120800,69502.32,69431.95,0.244201,-0.589375,-0.4555,0.7914,-1,0.55,UP,bearish_fade,0.55,1.0,DOWN,LOSS,-1.0,252.0
1771121700,69431.95,69476.58,0.316414,-0.316369,-1.0416,0.0656,-2,0.55,UP,bearish_fade,0.55,1.0,UP,WIN,1.0,253.0
1771122600,69476.58,69445.92,0.750394,0.201045,-0.7231,0.0892,1,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,253.0
1771123500,69445.92,69431.94,0.308244,-0.21999,-1.5124,-0.7493,-1,0.55,UP,bearish_fade,0.55,1.0,DOWN,LOSS,-1.0,252.0
1771124400,69431.94,69409.82,0.0,-0.11256,-1.169,-0.8841,-2,0.55,UP,bearish_fade,0.55,1.0,DOWN,LOSS,-1.0,251.0
1771125300,69409.82,69333.35,0.0,-0.155577,-0.4085,-0.6433,-3,0.55,UP,bearish_fade,0.55,1.0,DOWN,LOSS,-1.0,250.0
1771126200,69333.35,69925.01,0.422379,-0.267977,3.0815,0.9422,-4,0.55,UP,bearish_fade,0.55,1.0,UP,WIN,1.0,251.0
1771127100,69925.01,70400.01,0.914099,0.914099,4.6904,4.729,1,0.5,SKIP,bullish,0.5,0.0,UP,,0.0,251.0
1771128000,70400.01,70168.68,0.937436,0.787441,5.7281,2.8029,2,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,251.0
1771128900,70168.68,70206.9,0.080814,-0.661756,0.9238,0.6163,-1,0.55,UP,bearish_fade,0.55,1.0,UP,WIN,1.0,252.0
1771129800,70206.9,70162.52,0.234925,0.186013,-0.2094,-0.3428,1,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,252.0
1771130700,70162.52,70176.45,0.307429,-0.183063,-0.24,-0.1422,-1,0.55,UP,bearish_fade,0.55,1.0,UP,WIN,1.0,253.0
1771131600,70176.45,70297.99,0.449706,0.081941,-0.3951,-0.6868,1,0.5,SKIP,bullish,0.5,0.0,UP,,0.0,253.0
1771132500,70297.99,70334.87,0.503327,0.38691,0.2264,0.3078,2,0.5,SKIP,bullish,0.5,0.0,UP,,0.0,253.0
1771133400,70334.87,70237.99,0.582099,0.252949,-0.6423,-0.9262,3,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,253.0
1771134300,70237.99,70205.83,0.035077,-0.484085,-0.4839,-0.5482,-1,0.55,UP,bearish_fade,0.55,1.0,DOWN,LOSS,-1.0,252.0
1771135200,70205.83,70347.74,0.477501,-0.302114,-0.6114,-1.2015,-2,0.55,UP,bearish_fade,0.55,1.0,UP,WIN,1.0,253.0
1771136100,70347.74,70334.47,0.534373,0.433976,-0.0899,0.3527,1,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,253.0
1771137000,70334.47,70373.96,0.007688,-0.075018,-0.2511,-0.6606,-1,0.5,SKIP,neutral,0.5,0.0,UP,,0.0,253.0
1771137900,70373.96,70388.04,0.839111,0.290645,-0.5741,-0.8953,1,0.5,SKIP,bullish,0.5,0.0,UP,,0.0,253.0
1771138800,70388.04,70641.21,0.82531,0.103173,-0.529,-0.8125,2,0.5,SKIP,bullish,0.5,0.0,UP,,0.0,253.0
1771139700,70641.21,70702.92,0.569999,0.510712,1.4661,1.7353,3,0.5,SKIP,bullish,0.5,0.0,UP,,0.0,253.0
1771140600,70702.92,70790.31,0.461445,0.170738,0.4059,0.6668,4,0.5,SKIP,bullish,0.5,0.0,UP,,0.0,253.0
1771141500,70790.31,70705.74,1.0,0.601238,-0.3987,-0.7711,5,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,253.0
1771142400,70705.74,70533.62,0.022945,-0.350259,0.0525,-0.1562,-1,0.55,UP,bearish_fade,0.55,1.0,DOWN,LOSS,-1.0,252.0
1771143300,70533.62,70294.23,0.016825,-0.644958,-0.3882,-0.0311,-2,0.55,UP,bearish_fade,0.55,1.0,DOWN,LOSS,-1.0,251.0
1771144200,70294.23,70410.28,0.348206,-0.556604,0.3509,1.0195,-3,0.55,UP,bearish_fade,0.55,1.0,UP,WIN,1.0,252.0
1771145100,70410.28,70549.75,0.894608,0.690609,-0.356,-0.765,1,0.5,SKIP,bullish,0.5,0.0,UP,,0.0,252.0
1771146000,70549.75,70596.07,0.700348,0.480815,-0.3178,0.2223,2,0.5,SKIP,bullish,0.5,0.0,UP,,0.0,252.0
1771146900,70596.07,70471.46,0.942516,0.361282,-1.0282,-1.1229,3,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,252.0
1771147800,70471.46,70387.45,0.290221,-0.667363,-1.3191,-0.4561,-1,0.55,UP,bearish_fade,0.55,1.0,DOWN,LOSS,-1.0,251.0
1771148700,70387.45,70268.97,0.327674,-0.56375,-1.067,-0.8052,-2,0.55,UP,bearish_fade,0.55,1.0,DOWN,LOSS,-1.0,250.0
1771149600,70268.97,70400.7,0.351767,-0.477896,-0.384,0.1798,-3,0.55,UP,bearish_fade,0.55,1.0,UP,WIN,1.0,251.0
1771150500,70400.7,70421.4,0.913617,0.581461,-0.8139,-0.058,1,0.5,SKIP,bullish,0.5,0.0,UP,,0.0,251.0
1771151400,70421.4,70392.94,1.0,0.129278,-1.3135,-0.6558,2,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,251.0
1771152300,70392.94,70391.88,0.20352,-0.231872,-0.8128,-1.0274,-1,0.55,UP,bearish_fade,0.55,1.0,DOWN,LOSS,-1.0,250.0
1771153200,70391.88,70352.04,0.027677,-0.008172,-1.1037,-0.9015,-2,0.5,SKIP,neutral,0.5,0.0,DOWN,,0.0,250.0
1771154100,70352.04,70322.04,0.2596,-0.286495,-0.8998,-0.8335,-3,0.55,UP,bearish_fade,0.55,1.0,DOWN,LOSS,-1.0,249.0
1771155000,70322.04,70262.7,0.663353,-0.271125,-0.9234,-1.0252,-4,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,249.0
1771155900,70262.7,70186.75,0.238363,-0.512479,-0.7432,-0.9236,-5,0.55,UP,bearish_fade,0.55,1.0,DOWN,LOSS,-1.0,248.0
1771156800,70186.75,70330.34,0.407734,-0.440315,-0.2548,-0.3758,-6,0.55,UP,bearish_fade,0.55,1.0,UP,WIN,1.0,249.0
1771157700,70330.34,70222.67,0.913241,0.420444,1.0269,1.2023,1,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,249.0
1771158600,70222.67,69266.35,0.418451,-0.403138,-0.0602,0.6764,-1,0.55,UP,bearish_fade,0.55,1.0,DOWN,LOSS,-1.0,248.0
1771159500,69266.35,69477.48,0.007637,-0.992363,5.9958,9.1475,-2,0.55,UP,bearish_fade,0.55,1.0,UP,WIN,1.0,249.0
