ts,close,next_close,close_position,body_signed,volume_z,range_z,streak,p_up,side,confidence,stake,actual,result,pnl,equity
1774607100,67715.77,67641.77,0.867159,0.366375,-0.8671,-0.7823,3,0.733269,UP,0.733269,1.0,DOWN,LOSS,-1.0,249.0
1774607400,67641.77,66949.99,0.11339,-0.770512,-0.7678,-0.6038,-1,0.173052,DOWN,0.826948,3.0,DOWN,WIN,3.0,252.0
1774607700,66949.99,66857.88,0.152962,-0.846732,16.833,15.3903,-2,0.863221,UP,0.863221,3.0,DOWN,LOSS,-3.0,249.0
1774608000,66857.88,66774.4,0.391856,-0.368794,0.7898,0.5878,-3,0.326378,DOWN,0.673622,0.0,DOWN,,0.0,249.0
1774608300,66774.4,66603.93,0.199048,-0.537229,0.2706,-0.0371,-4,0.189672,DOWN,0.810328,3.0,DOWN,WIN,3.0,252.0
1774608600,66603.93,66462.67,0.216165,-0.453088,0.7727,1.3548,-5,0.186517,DOWN,0.813483,3.0,DOWN,WIN,3.0,255.0
1774608900,66462.67,66418.96,0.533688,-0.466312,1.1404,0.8212,-6,0.427713,DOWN,0.572287,0.0,DOWN,,0.0,255.0
1774609200,66418.96,66363.14,0.696394,-0.145671,0.7672,0.7403,-7,0.692611,UP,0.692611,0.0,DOWN,,0.0,255.0
1774609500,66363.14,66575.84,0.019786,-0.421538,-0.3355,-0.3358,-8,0.172471,DOWN,0.827529,3.0,UP,LOSS,-3.0,252.0
1774609800,66575.84,66644.22,0.94021,0.931669,-0.0744,0.2287,1,0.909154,UP,0.909154,5.0,UP,WIN,5.0,257.0
1774610100,66644.22,66595.41,0.677281,0.524668,-0.0782,-0.38,2,0.725943,UP,0.725943,1.0,DOWN,LOSS,-1.0,256.0
1774610400,66595.41,66677.91,0.087682,-0.411517,-0.2928,-0.466,-1,0.175226,DOWN,0.824774,3.0,UP,LOSS,-3.0,253.0
1774610700,66677.91,66665.17,0.8103,0.649657,-0.6918,-0.4246,1,0.786233,UP,0.786233,1.0,DOWN,LOSS,-1.0,252.0
1774611000,66665.17,66673.5,0.527454,-0.120816,-0.4411,-0.5556,-1,0.510198,UP,0.510198,0.0,UP,,0.0,252.0
1774611300,66673.5,66724.47,0.857221,0.113488,-0.3216,-0.7562,1,0.745629,UP,0.745629,1.0,UP,WIN,1.0,253.0
1774611600,66724.47,66758.0,0.792201,0.641132,-0.423,-0.6794,2,0.786469,UP,0.786469,1.0,UP,WIN,1.0,254.0
1774611900,66758.0,66712.05,0.570307,0.248407,-0.5646,-0.315,3,0.557364,UP,0.557364,0.0,DOWN,,0.0,254.0
1774612200,66712.05,66671.97,0.575288,-0.337347,-0.362,-0.3142,-1,0.490795,DOWN,0.509205,0.0,DOWN,,0.0,254.0
1774612500,66671.97,66600.0,0.3317,-0.47891,-0.5097,-0.6485,-2,0.316408,DOWN,0.683592,0.0,DOWN,,0.0,254.0
1774612800,66600.0,66655.79,0.01698,-0.614078,-0.0698,-0.4445,-3,0.120458,DOWN,0.879542,3.0,UP,LOSS,-3.0,251.0
1774613100,66655.79,66609.92,0.491142,0.356828,-0.18,-0.2193,1,0.566052,UP,0.566052,0.0,DOWN,,0.0,251.0
1774613400,66609.92,66628.68,0.343974,-0.35369,-0.4069,-0.404,-1,0.32992,DOWN,0.67008,0.0,UP,,0.0,251.0
1774613700,66628.68,66580.1,0.465586,0.169009,-0.6174,-0.5308,1,0.495635,DOWN,0.504365,0.0,DOWN,,0.0,251.0
1774614000,66580.1,66510.26,0.384999,-0.440076,-0.8757,-0.6381,-1,0.362042,DOWN,0.637958,0.0,DOWN,,0.0,251.0
1774614300,66510.26,66433.75,0.172785,-0.671151,-0.7781,-0.6447,-2,0.221385,DOWN,0.778615,1.0,DOWN,WIN,1.0,252.0
1774614600,66433.75,66569.46,0.075738,-0.491078,-0.6501,0.0361,-3,0.202921,DOWN,0.797079,1.0,UP,LOSS,-1.0,251.0
1774614900,66569.46,66587.99,0.786375,0.609823,0.6608,1.2974,1,0.857573,UP,0.857573,3.0,UP,WIN,3.0,254.0
1774615200,66587.99,66450.01,0.889071,0.275908,-0.7408,-1.3176,2,0.747886,UP,0.747886,1.0,DOWN,LOSS,-1.0,253.0
1774615500,66450.01,66573.5,0.005297,-0.676771,-0.5246,1.8968,-1,0.145235,DOWN,0.854765,3.0,UP,LOSS,-3.0,250.0
1774615800,66573.5,66579.94,0.929893,0.896219,-1.4467,0.1808,1,0.792755,UP,0.792755,1.0,UP,WIN,1.0,251.0
1774616100,66579.94,66640.16,0.59547,0.108054,-0.4344,-1.7174,2,0.556748,UP,0.556748,0.0,UP,,0.0,251.0
1774616400,66640.16,66532.11,0.52806,0.52806,1.0291,-0.1882,3,0.661514,UP,0.661514,0.0,DOWN,,0.0,251.0
1774616700,66532.11,66497.91,0.251628,-0.748372,2.0999,0.561,-1,0.081098,DOWN,0.918902,5.0,DOWN,WIN,5.0,256.0
1774617000,66497.91,66517.23,0.285291,-0.596754,0.2872,-1.5825,-2,0.213507,DOWN,0.786493,1.0,UP,LOSS,-1.0,255.0
1774617300,66517.23,66612.46,0.780629,0.224364,0.5248,-0.7803,1,0.773756,UP,0.773756,1.0,UP,WIN,1.0,256.0
1774617600,66612.46,66662.8,0.767056,0.767056,-0.0717,0.0834,2,0.820417,UP,0.820417,3.0,UP,WIN,3.0,259.0
1774617900,66662.8,66312.27,0.675876,0.612707,3.2465,-0.9745,3,0.848979,UP,0.848979,3.0,DOWN,LOSS,-3.0,256.0
1774618200,66312.27,66412.15,0.008186,-0.913886,6.21,6.1928,-1,0.093239,DOWN,0.906761,5.0,UP,LOSS,-5.0,251.0
1774618500,66412.15,66470.33,0.871634,0.301889,3.5869,2.7737,1,0.861982,UP,0.861982,3.0,UP,WIN,3.0,254.0
1774618800,66470.33,66377.55,0.399928,0.263151,6.3918,0.9235,2,0.451804,DOWN,0.548196,0.0,DOWN,,0.0,254.0
1774619100,66377.55,66187.97,0.075202,-0.528179,1.7012,0.3049,-1,0.059094,DOWN,0.940906,5.0,DOWN,WIN,5.0,259.0
1774619400,66187.97,66141.92,0.045244,-0.942574,1.4385,0.5959,-2,0.034483,DOWN,0.965517,5.0,DOWN,WIN,5.0,264.0
1774619700,66141.92,66264.62,0.786551,-0.210659,3.3585,0.7565,-3,0.777735,UP,0.777735,1.0,UP,WIN,1.0,265.0
1774620000,66264.62,66275.9,0.923116,0.518049,0.6763,0.9036,1,0.900361,UP,0.900361,5.0,UP,WIN,5.0,270.0
1774620300,66275.9,66319.06,0.420412,0.088624,0.3232,-0.4552,2,0.42144,DOWN,0.57856,0.0,UP,,0.0,270.0
