entry_ts,entry_close,side,confidence,stake,market_slug,token_id,fill_price,edge,kelly_f,shares,close_position,body_signed,direction,volume_z,range_z,streak,resolve_ts,resolve_close,settled_token_price,result,pnl,resolution_source
1776466500,77321.96,UP,0.55,15.0,btc-updown-5m-1776466800,50722754005259910281236837370198882805887693731097913066944494168656443343343,0.18,0.37,0.45122,83.333333,0.236097,-0.763816,-1,0.1362,0.5448,-1,1776467511,,0.0,LOSS,-15.0,polymarket
1776466800,77310.63,DOWN,0.45,14.0845,btc-updown-5m-1776467100,10606980147502174532343150451767865180386587621806329317952011818758219435969,0.29,0.16,0.225352,48.567266,0.20521,-0.794333,-1,-2.9503,-2.5832,-2,1776467711,,1.0,WIN,34.4828,polymarket
1776467700,77229.67,DOWN,0.45,15.0,btc-updown-5m-1776468000,50110273507984676961232937561211541170981657840595247280046781258953771837360,0.27,0.18,0.246575,55.555556,0.0,-0.996479,-1,-1.823,-2.135,-2,1776468613,,0.0,LOSS,-15.0,polymarket
1776468000,77006.19,DOWN,0.5,15.0,btc-updown-5m-1776468300,19261518143808868630716237894763346482921908310035147198054049251962817267359,0.33,0.17,0.253731,45.454545,1.0,0.578674,1,-1.5183,-0.255,1,1776468894,,0.0,LOSS,-15.0,polymarket
1776468600,77079.99,DOWN,0.5,7.6754,btc-updown-5m-1776468900,73375319374518335127000262045695528081652793739137709550632461689818485929932,0.43,0.07,0.122807,17.849857,0.732353,0.729412,1,-1.3398,-1.7754,3,1776469415,,1.0,WIN,10.1744,polymarket
1776468900,77064.68,DOWN,0.5,5.6818,btc-updown-5m-1776469200,74049948963383433064057014856713177316481784176270333806795328178241188585706,0.45,0.05,0.090909,12.626263,0.516284,0.516284,1,-1.2157,-1.2376,4,1776469936,,0.0,LOSS,-5.6818,polymarket
1776469200,77037.99,DOWN,0.5,3.5377,btc-updown-5m-1776469500,60192826705088081739160708371827419406264459235500807255921762955970349328566,0.47,0.03,0.056604,7.527098,0.996441,0.996441,1,-1.1521,-1.4887,5,1776470056,,0.0,LOSS,-3.5377,polymarket
1776469800,77163.76,UP,0.55,5.102,btc-updown-5m-1776470100,68118912441402488388436015110802336376168625220732863066037381650286921997919,0.51,0.04,0.081633,10.004002,0.0,-1.0,-1,-0.9856,-1.2494,-1,1776470778,,0.0,LOSS,-5.102,polymarket
1776471000,77118.0,UP,0.55,8.4135,btc-updown-5m-1776471300,50597878384589807961373852036228512667071822858950639173294541140073423651301,0.48,0.07,0.134615,17.528045,0.0,-1.0,-1,-0.6632,-0.8678,-1,1776471719,,1.0,WIN,9.1146,polymarket
1776471300,77150.85,UP,0.5,3.5377,btc-updown-5m-1776471600,3789758543270561839809770718785148793183701093110262047210626322184880696630,0.47,0.03,0.056604,7.527098,1.0,0.999416,1,-0.6809,-0.5721,1,1776472100,,0.0,LOSS,-3.5377,polymarket
1776472200,77274.99,DOWN,0.5,3.5377,btc-updown-5m-1776472500,59530031409784493932816188662958272150118770720303188633390354944119591305192,0.47,0.03,0.056604,7.527098,1.0,0.676628,1,-0.2723,0.0409,2,1776473182,,1.0,WIN,3.9894,polymarket
1776472500,77114.0,DOWN,0.5,4.6296,btc-updown-5m-1776472800,37379479309262085254031561182816963433637107500578859423159047228376047049278,0.46,0.04,0.074074,10.064412,0.889878,0.889878,1,-0.2803,-0.604,3,1776473282,,1.0,WIN,5.4348,polymarket
1776472800,77099.01,DOWN,0.5,5.6818,btc-updown-5m-1776473100,107043614662621958555786570996634701267823059061841668715214660196985685951661,0.45,0.05,0.090909,12.626263,0.59162,0.59162,1,0.1558,2.278,4,1776473723,,0.0,LOSS,-5.6818,polymarket
