entry_ts,entry_close,side,confidence,stake,market_slug,fill_price,edge,kelly_f,shares,close_position,body_signed,direction,volume_z,range_z,streak,resolve_ts,resolve_close,result,pnl,resolution_source
1776399600,74750.19,UP,0.955724,5.0,btc-updown-5m-1776399900,0.53,0.425724,0.905795,9.433962,0.025296,-0.949952,-1,0.8345,0.0231,-1,1776399900,74766.78,WIN,4.434,coindesk_fallback
1776399900,74766.78,UP,0.5,5.0,btc-updown-5m-1776400200,0.42,0.08,0.137931,11.904762,0.5,0.0,0,-2.8719,-2.5808,0,1776400200,74770.48,WIN,6.9048,coindesk_fallback
1776400200,74770.48,DOWN,0.5,5.0,btc-updown-5m-1776400500,0.29,0.21,0.295775,17.241379,0.5,0.0,0,-2.4246,-2.1469,0,1776400500,74844.59,LOSS,-5.0,coindesk_fallback
1776401400,74781.55,DOWN,0.5,3.5377,btc-updown-5m-1776401700,0.47,0.03,0.056604,7.527098,0.5,0.0,0,-1.4606,-1.3501,0,1776401700,74809.26,LOSS,-3.5377,coindesk_fallback
1776401700,74809.26,DOWN,0.5,4.6296,btc-updown-5m-1776402000,0.46,0.04,0.074074,10.064412,0.5,0.0,0,-1.3147,-1.2162,0,1776402000,74810.01,LOSS,-4.6296,coindesk_fallback
1776402000,74810.01,UP,0.5,5.0,btc-updown-5m-1776402300,0.45,0.05,0.090909,11.111111,0.5,0.0,0,-1.2089,-1.1225,0,1776402682,,LOSS,-5.0,polymarket
1776402600,74615.01,DOWN,0.5,3.5377,btc-updown-5m-1776402900,0.47,0.03,0.056604,7.527098,0.5,0.0,0,-1.0014,-0.9469,0,1776402900,74640.01,LOSS,-3.5377,coindesk_fallback
1776402900,74640.01,DOWN,0.5,5.0,btc-updown-5m-1776403200,0.42,0.08,0.137931,11.904762,0.5,0.0,0,-0.9067,-0.857,0,1776403200,74697.99,LOSS,-5.0,coindesk_fallback
1776403200,74697.99,DOWN,0.5,4.6296,btc-updown-5m-1776403500,0.46,0.04,0.074074,10.064412,0.5,0.0,0,-0.8272,-0.7794,0,1776403925,,WIN,5.4348,polymarket
1776404100,74708.5,UP,0.5,5.0,btc-updown-5m-1776404400,0.39,0.11,0.180328,12.820513,0.5,0.0,0,-0.6263,-0.5636,0,1776404400,74663.46,LOSS,-5.0,coindesk_fallback
1776404400,74663.46,UP,0.5,5.0,btc-updown-5m-1776404700,0.43,0.07,0.122807,11.627907,0.5,0.0,0,-0.5641,-0.5002,0,1776405000,74694.72,WIN,6.6279,coindesk_fallback
1776405300,74708.16,UP,0.5,5.0,btc-updown-5m-1776405600,0.37,0.13,0.206349,13.513514,0.5,0.0,0,-0.33,-0.3201,0,1776405600,74656.56,LOSS,-5.0,coindesk_fallback
1776406500,74775.99,DOWN,0.5,5.0,btc-updown-5m-1776406800,0.37,0.13,0.206349,13.513514,0.5,0.0,0,0.0,0.0,0,1776406800,74747.16,WIN,8.5135,coindesk_fallback
1776407100,74822.14,UP,0.5,5.0,btc-updown-5m-1776407400,0.38,0.12,0.193548,13.157895,0.5,0.0,0,0.0,0.0,0,1776407400,74828.37,WIN,8.1579,coindesk_fallback
1776407400,74828.37,UP,0.5,3.5377,btc-updown-5m-1776407700,0.47,0.03,0.056604,7.527098,0.5,0.0,0,0.0,0.0,0,1776407700,74839.57,WIN,3.9894,coindesk_fallback
1776407700,74839.57,UP,0.5,5.0,btc-updown-5m-1776408000,0.32,0.18,0.264706,15.625,0.5,0.0,0,0.0,0.0,0,1776408575,,WIN,10.625,polymarket
1776408600,74888.73,UP,0.5,3.5377,btc-updown-5m-1776408900,0.47,0.03,0.056604,7.527098,0.5,0.0,0,0.0,0.0,0,1776408900,74946.01,WIN,3.9894,coindesk_fallback
1776408900,74946.01,UP,0.5,4.6296,btc-updown-5m-1776409200,0.46,0.04,0.074074,10.064412,0.5,0.0,0,0.0,0.0,0,1776409200,74954.74,WIN,5.4348,coindesk_fallback
1776409500,75015.12,UP,0.5,5.0,btc-updown-5m-1776409800,0.45,0.05,0.090909,11.111111,0.5,0.0,0,0.0,0.0,0,1776410100,75057.79,LOSS,-5.0,polymarket
1776410400,75034.43,UP,0.5,3.5377,btc-updown-5m-1776410700,0.47,0.03,0.056604,7.527098,0.5,0.0,0,0.0,0.0,0,1776410700,74982.0,LOSS,-3.5377,coindesk_fallback
1776411000,74993.99,UP,0.5,4.6296,btc-updown-5m-1776411300,0.46,0.04,0.074074,10.064412,0.5,0.0,0,0.0,0.0,0,1776411600,75003.38,WIN,5.4348,coindesk_fallback
1776411600,75003.38,DOWN,0.5,3.5377,btc-updown-5m-1776411900,0.47,0.03,0.056604,7.527098,0.5,0.0,0,0.0,0.0,0,1776411900,75032.01,LOSS,-3.5377,coindesk_fallback
1776412200,75002.63,UP,0.5,5.0,btc-updown-5m-1776412500,0.4,0.1,0.166667,12.5,0.5,0.0,0,0.0,0.0,0,1776412500,75060.86,WIN,7.5,coindesk_fallback
1776412500,75060.86,DOWN,0.5,4.6296,btc-updown-5m-1776412800,0.46,0.04,0.074074,10.064412,0.5,0.0,0,0.0,0.0,0,1776412800,75094.02,LOSS,-4.6296,coindesk_fallback
1776412800,75094.02,DOWN,0.5,4.6296,btc-updown-5m-1776413100,0.46,0.04,0.074074,10.064412,0.5,0.0,0,0.0,0.0,0,1776413556,,LOSS,-4.6296,polymarket
1776414300,75095.63,UP,0.5,5.0,btc-updown-5m-1776414600,0.45,0.05,0.090909,11.111111,0.5,0.0,0,0.0,0.0,0,1776414600,75123.76,WIN,6.1111,coindesk_fallback
1776414600,75123.76,UP,0.5,5.0,btc-updown-5m-1776414900,0.44,0.06,0.107143,11.363636,0.5,0.0,0,0.0,0.0,0,1776414900,75382.26,WIN,6.3636,coindesk_fallback
1776414900,75382.26,DOWN,0.5,5.0,btc-updown-5m-1776415200,0.44,0.06,0.107143,11.363636,0.5,0.0,0,0.0,0.0,0,1776415200,75294.1,WIN,6.3636,coindesk_fallback
1776415800,75565.0,UP,0.5,5.0,btc-updown-5m-1776416100,0.45,0.05,0.090909,11.111111,0.5,0.0,0,0.0,0.0,0,1776416100,75776.63,WIN,6.1111,coindesk_fallback
1776416100,75776.63,UP,0.5,5.0,btc-updown-5m-1776416400,0.45,0.05,0.090909,11.111111,0.5,0.0,0,0.0,0.0,0,1776416400,75806.24,WIN,6.1111,coindesk_fallback
1776416700,75724.02,UP,0.5,3.5377,btc-updown-5m-1776417000,0.47,0.03,0.056604,7.527098,0.5,0.0,0,0.0,0.0,0,1776417000,75772.62,WIN,3.9894,coindesk_fallback
1776417300,75913.05,UP,0.5,4.6296,btc-updown-5m-1776417600,0.46,0.04,0.074074,10.064412,0.5,0.0,0,0.0,0.0,0,1776417600,75787.77,LOSS,-4.6296,coindesk_fallback
1776417900,75847.28,UP,0.5,4.6296,btc-updown-5m-1776418200,0.46,0.04,0.074074,10.064412,0.5,0.0,0,0.0,0.0,0,1776418500,75736.21,LOSS,-4.6296,coindesk_fallback
1776418500,75736.21,UP,0.5,3.5377,btc-updown-5m-1776418800,0.47,0.03,0.056604,7.527098,0.5,0.0,0,0.0,0.0,0,1776418800,75670.94,LOSS,-3.5377,coindesk_fallback
1776420300,75807.65,UP,0.5,3.5377,btc-updown-5m-1776420600,0.47,0.03,0.056604,7.527098,0.5,0.0,0,0.0,0.0,0,1776420600,75746.25,LOSS,-3.5377,coindesk_fallback
1776421200,75690.0,DOWN,0.5,3.5377,btc-updown-5m-1776421500,0.47,0.03,0.056604,7.527098,0.5,0.0,0,0.0,0.0,0,1776421500,75731.8,LOSS,-3.5377,coindesk_fallback
1776421800,75259.87,DOWN,0.5,5.0,btc-updown-5m-1776422100,0.4,0.1,0.166667,12.5,0.5,0.0,0,0.0,0.0,0,1776422400,75228.74,WIN,7.5,coindesk_fallback
1776422700,75210.0,DOWN,0.5,3.5377,btc-updown-5m-1776423000,0.47,0.03,0.056604,7.527098,0.5,0.0,0,0.0,0.0,0,1776423000,75284.97,LOSS,-3.5377,coindesk_fallback
