Market,Question,Duration,Side,Entry,Outcome,Won,P/L,Edge,Trades,Resolved At
MKT-6E6605,"XRP Up or Down - April 11, 12:00PM-12:15PM ET",15,UP,0.7600,UP,Y,0.3576,21.7,,2026-04-11T16:21:20.990294Z
MKT-BAAA5B,"Solana Up or Down - April 11, 12:00PM-12:15PM ET",15,DOWN,0.6800,UP,N,-0.8747,59.4,,2026-04-11T16:20:58.660571Z
MKT-68FEFC,"Bitcoin Up or Down - April 11, 12:00PM-12:15PM ET",15,DOWN,0.7800,UP,N,-1.2747,78.0,,2026-04-11T16:20:58.617774Z
MKT-5DDCAE,"Ethereum Up or Down - April 11, 12:00PM-12:15PM ET",15,DOWN,0.9000,DOWN,Y,0.1185,88.8,,2026-04-11T16:20:35.807880Z
MKT-E9BB5D,"Bitcoin Up or Down - April 11, 12:05PM-12:10PM ET",5,UP,0.2900,DOWN,N,-1.3203,71.0,,2026-04-11T16:14:48.107473Z
MKT-631B9C,"Solana Up or Down - April 11, 11:45AM-12:00PM ET",15,DOWN,0.3300,UP,N,-0.2542,22.6,,2026-04-11T16:06:25.988482Z
MKT-007AB8,"Bitcoin Up or Down - April 11, 11:45AM-12:00PM ET",15,DOWN,0.1800,UP,N,-1.5216,17.8,,2026-04-11T16:05:28.108939Z
MKT-CD8111,"Ethereum Up or Down - April 11, 11:45AM-12:00PM ET",15,DOWN,0.3200,UP,N,-0.3976,17.8,,2026-04-11T16:05:16.449383Z
MKT-B00965,"XRP Up or Down - April 11, 11:45AM-12:00PM ET",15,UP,0.6900,UP,Y,0.6607,30.6,,2026-04-11T16:05:05.176953Z
MKT-CF1767,"Ethereum Up or Down - April 11, 11:30AM-11:45AM ET",15,DOWN,0.6700,DOWN,Y,0.3919,51.3,,2026-04-11T15:50:55.744049Z
MKT-B44570,"Bitcoin Up or Down - April 11, 11:30AM-11:45AM ET",15,DOWN,0.4100,UP,N,-1.0481,22.6,,2026-04-11T15:50:34.746570Z
MKT-6D78AB,"XRP Up or Down - April 11, 11:30AM-11:45AM ET",15,UP,0.7400,UP,Y,0.4587,23.1,,2026-04-11T15:50:13.492423Z
MKT-E0B889,"Solana Up or Down - April 11, 11:30AM-11:45AM ET",15,DOWN,0.7000,DOWN,Y,0.3990,58.7,,2026-04-11T15:50:02.681888Z
MKT-4D2185,"Bitcoin Up or Down - April 11, 11:15AM-11:30AM ET",15,DOWN,0.1400,UP,N,-0.4474,46.7,,2026-04-11T15:35:45.296887Z
MKT-E9D9D7,"XRP Up or Down - April 11, 11:15AM-11:30AM ET",15,DOWN,0.2100,UP,N,-1.0187,4.2,,2026-04-11T15:35:24.232342Z
MKT-5D22A4,"Ethereum Up or Down - April 11, 11:15AM-11:30AM ET",15,DOWN,0.1100,UP,N,-0.2376,64.0,,2026-04-11T15:35:13.663234Z
MKT-1D793B,"Bitcoin Up or Down - April 11, 11:00AM-11:15AM ET",15,DOWN,0.6100,UP,N,-1.5260,61.0,,2026-04-11T15:20:22.709898Z
MKT-7EE8A1,"XRP Up or Down - April 11, 11:00AM-11:15AM ET",15,DOWN,0.3500,UP,N,-1.2304,25.4,,2026-04-11T15:20:12.278774Z
MKT-2EDC48,"Solana Up or Down - April 11, 11:00AM-11:15AM ET",15,UP,0.1900,UP,Y,1.2562,15.7,,2026-04-11T15:20:12.253346Z
MKT-410102,"Ethereum Up or Down - April 11, 11:00AM-11:15AM ET",15,UP,0.4200,UP,Y,0.3253,9.0,,2026-04-11T15:20:01.686221Z
